"gid","iso_a2","code","level_1"
501731,"US","01731","Massachusetts"
501740,"US","01740","Massachusetts"
501741,"US","01741","Massachusetts"
501742,"US","01742","Massachusetts"
501745,"US","01745","Massachusetts"
501746,"US","01746","Massachusetts"
501747,"US","01747","Massachusetts"
501748,"US","01748","Massachusetts"
501749,"US","01749","Massachusetts"
501752,"US","01752","Massachusetts"
501754,"US","01754","Massachusetts"
501756,"US","01756","Massachusetts"
501757,"US","01757","Massachusetts"
501760,"US","01760","Massachusetts"
501770,"US","01770","Massachusetts"
501772,"US","01772","Massachusetts"
501773,"US","01773","Massachusetts"
501775,"US","01775","Massachusetts"
501776,"US","01776","Massachusetts"
501778,"US","01778","Massachusetts"
501801,"US","01801","Massachusetts"
501803,"US","01803","Massachusetts"
501810,"US","01810","Massachusetts"
501821,"US","01821","Massachusetts"
501824,"US","01824","Massachusetts"
501826,"US","01826","Massachusetts"
501827,"US","01827","Massachusetts"
501830,"US","01830","Massachusetts"
501832,"US","01832","Massachusetts"
501833,"US","01833","Massachusetts"
501834,"US","01834","Massachusetts"
501835,"US","01835","Massachusetts"
501840,"US","01840","Massachusetts"
501841,"US","01841","Massachusetts"
501843,"US","01843","Massachusetts"
501844,"US","01844","Massachusetts"
501845,"US","01845","Massachusetts"
501850,"US","01850","Massachusetts"
501851,"US","01851","Massachusetts"
501852,"US","01852","Massachusetts"
501854,"US","01854","Massachusetts"
501860,"US","01860","Massachusetts"
501862,"US","01862","Massachusetts"
501863,"US","01863","Massachusetts"
501864,"US","01864","Massachusetts"
501867,"US","01867","Massachusetts"
501876,"US","01876","Massachusetts"
501879,"US","01879","Massachusetts"
501880,"US","01880","Massachusetts"
501886,"US","01886","Massachusetts"
501887,"US","01887","Massachusetts"
501890,"US","01890","Massachusetts"
501901,"US","01901","Massachusetts"
501902,"US","01902","Massachusetts"
501904,"US","01904","Massachusetts"
501905,"US","01905","Massachusetts"
501906,"US","01906","Massachusetts"
501907,"US","01907","Massachusetts"
501908,"US","01908","Massachusetts"
501913,"US","01913","Massachusetts"
501915,"US","01915","Massachusetts"
501921,"US","01921","Massachusetts"
501922,"US","01922","Massachusetts"
501923,"US","01923","Massachusetts"
501929,"US","01929","Massachusetts"
501930,"US","01930","Massachusetts"
501937,"US","01937","Massachusetts"
501938,"US","01938","Massachusetts"
501940,"US","01940","Massachusetts"
501944,"US","01944","Massachusetts"
501945,"US","01945","Massachusetts"
501949,"US","01949","Massachusetts"
501950,"US","01950","Massachusetts"
501951,"US","01951","Massachusetts"
501952,"US","01952","Massachusetts"
501960,"US","01960","Massachusetts"
501966,"US","01966","Massachusetts"
501969,"US","01969","Massachusetts"
501970,"US","01970","Massachusetts"
501982,"US","01982","Massachusetts"
501983,"US","01983","Massachusetts"
501984,"US","01984","Massachusetts"
501985,"US","01985","Massachusetts"
502019,"US","02019","Massachusetts"
502021,"US","02021","Massachusetts"
502025,"US","02025","Massachusetts"
502026,"US","02026","Massachusetts"
502030,"US","02030","Massachusetts"
502032,"US","02032","Massachusetts"
502035,"US","02035","Massachusetts"
502038,"US","02038","Massachusetts"
502043,"US","02043","Massachusetts"
502045,"US","02045","Massachusetts"
502047,"US","02047","Massachusetts"
502048,"US","02048","Massachusetts"
502050,"US","02050","Massachusetts"
502052,"US","02052","Massachusetts"
502053,"US","02053","Massachusetts"
502054,"US","02054","Massachusetts"
502056,"US","02056","Massachusetts"
502061,"US","02061","Massachusetts"
502062,"US","02062","Massachusetts"
502066,"US","02066","Massachusetts"
502067,"US","02067","Massachusetts"
502071,"US","02071","Massachusetts"
502072,"US","02072","Massachusetts"
502081,"US","02081","Massachusetts"
502090,"US","02090","Massachusetts"
502093,"US","02093","Massachusetts"
502108,"US","02108","Massachusetts"
502109,"US","02109","Massachusetts"
502110,"US","02110","Massachusetts"
502111,"US","02111","Massachusetts"
502113,"US","02113","Massachusetts"
502114,"US","02114","Massachusetts"
502115,"US","02115","Massachusetts"
502116,"US","02116","Massachusetts"
502118,"US","02118","Massachusetts"
502119,"US","02119","Massachusetts"
502120,"US","02120","Massachusetts"
502121,"US","02121","Massachusetts"
