"gid","iso_a2","code","name","level_0","level_1","level_2","level_3","bbox"
100000046019,"FR","46019","Beaumat","FR","Occitanie","Lot","Cœur de Causse","1.493782 44.630557 1.542872 44.675015"
100000270491,"FR","27049","Beaumesnil","FR","Normandie","Eure","Mesnil-en-Ouche","0.663762 48.981674 0.723295 49.033826"
100000860191,"FR","86019","Beaumont","FR","Nouvelle-Aquitaine","Vienne","Beaumont Saint-Cyr","0.400256 46.717777 0.483582 46.769767"
100000240281,"FR","24028","Beaumont-du-Périgord","FR","Nouvelle-Aquitaine","Dordogne","Beaumontois en Périgord","0.702262 44.737098 0.799112 44.801626"
100000500411,"FR","50041","Beaumont-Hague","FR","Normandie","Manche","La Hague","-1.873108 49.64838 -1.799426 49.681009"
100000370211,"FR","37021","Beaumont-la-Ronce","FR","Centre-Val de Loire","Indre-et-Loire ","Beaumont-Louestault","0.604232 47.530413 0.731491 47.600252"
100000600541,"FR","60054","Beaumont-les-Nonains","FR","Hauts-de-France","Oise","Les Hauts-Talican","1.9606 49.294038 2.04081 49.347687"
100000073035,"FR","73035","Beaune","FR","Auvergne-Rhône-Alpes","Savoie","Saint-Michel-de-Maurienne","6.460122 45.240583 6.517667 45.286077"
100000490231,"FR","49023","Beaupréau","FR","Pays de la Loire","Maine-et-Loire","Beaupréau-en-Mauges","-1.042497 47.182492 -0.922896 47.242294"
100000024033,"FR","24033","Beaussac","FR","Nouvelle-Aquitaine","Dordogne","Mareuil en Périgord","0.445556 45.485677 0.52094 45.53952"
100000049024,"FR","49024","Beausse","FR","Pays de la Loire","Maine-et-Loire","Mauges-sur-Loire","-0.966818 47.308599 -0.91493 47.338923"
100000049025,"FR","49025","Beauvau","FR","Pays de la Loire","Maine-et-Loire","Jarzé Villages","-0.27286 47.574318 -0.233657 47.612383"
100000041015,"FR","41015","Beauvilliers","FR","Centre-Val de Loire","Loir-et-Cher","Oucques La Nouvelle","1.222773 47.824514 1.283783 47.85692"
100000010036,"FR","10036","Beauvoir-sur-Sarce","FR","Grand Est","Aube","Bragelogne-Beauvoir","4.281335 47.947205 4.321548 47.982243"
100000039044,"FR","39044","Beauvoisin","FR","Bourgogne-Franche-Comté","Jura","Asnans-Beauvoisin","5.361889 46.918684 5.404399 46.944614"
100000067024,"FR","67024","Behlenheim","FR","Grand Est","Bas-Rhin","Truchtersheim","7.597753 48.641022 7.64512 48.652719"
100000050043,"FR","50043","Bellefontaine","FR","Normandie","Manche","Juvigny les Vallées","-1.009401 48.664709 -0.959632 48.702446"
100000010331,"FR","01033","Bellegarde-sur-Valserine","FR","Auvergne-Rhône-Alpes","Ain","Valserhône","5.78931 46.078517 5.867731 46.136836"
100000073038,"FR","73038","Bellentre","FR","Auvergne-Rhône-Alpes","Savoie","La Plagne Tarentaise","6.692781 45.491027 6.769407 45.592473"
100000079033,"FR","79033","Belleville","FR","Nouvelle-Aquitaine","Deux-Sèvres","Plaine-d'Argenson","-0.529691 46.119683 -0.435174 46.146995"
100000690191,"FR","69019","Belleville","FR","Auvergne-Rhône-Alpes","Rhône","Belleville-en-Beaujolais","4.694643 46.081605 4.767408 46.115743"
100000076073,"FR","76073","Belleville-sur-Mer","FR","Normandie","Seine-Maritime","Petit-Caux","1.147826 49.936518 1.183213 49.960388"
100000850191,"FR","85019","Belleville-sur-Vie","FR","Pays de la Loire","Vendée","Bellevigny","-1.46509 46.743898 -1.398191 46.806289"
100000044011,"FR","44011","Belligné","FR","Pays de la Loire","Loire-Atlantique","Loireauxence","-1.079388 47.447047 -0.958916 47.505578"
100000014058,"FR","14058","Bellou","FR","Normandie","Calvados","Livarot-Pays-d'Auge","0.199498 48.970513 0.245486 49.007763"
100000010361,"FR","01036","Belmont-Luthézieu","FR","Auvergne-Rhône-Alpes","Ain","Valromey-sur-Séran","5.621843 45.861055 5.679322 45.920153"
100000240351,"FR","24035","Belvès","FR","Nouvelle-Aquitaine","Dordogne","Pays de Belvès","0.940581 44.70383 1.029941 44.788256"
100000048023,"FR","48023","Belvezet","FR","Occitanie","Lozère","Mont Lozère et Goulet","3.708424 44.534691 3.773625 44.579619"
100000086021,"FR","86021","Benassay","FR","Nouvelle-Aquitaine","Vienne","Boivre-la-Vallée","-0.011416 46.508001 0.079104 46.592067"
100000005020,"FR","05020","Bénévent-et-Charbillac","FR","Provence-Alpes-Côte d'Azur","Hautes-Alpes","Saint-Bonnet-en-Champsaur","6.052361 44.689274 6.134623 44.72602"
100000076078,"FR","76078","Bennetot","FR","Normandie","Seine-Maritime","Terres-de-Caux","0.541286 49.663157 0.574291 49.692325"
100000001039,"FR","01039","Béon","FR","Auvergne-Rhône-Alpes","Ain","Culoz-Béon","5.728091 45.834448 5.77085 45.881119"
100000062110,"FR","62110","Berguette","FR","Hauts-de-France","Pas-de-Calais","Isbergues","2.445646 50.5942 2.488798 50.619514"
100000076080,"FR","76080","Bermonville","FR","Normandie","Seine-Maritime","Terres-de-Caux","0.617465 49.627379 0.666523 49.658041"
100000076081,"FR","76081","Berneval-le-Grand","FR","Normandie","Seine-Maritime","Petit-Caux","1.168862 49.939512 1.208079 49.96845"
100000014065,"FR","14065","Bernières-le-Patry","FR","Normandie","Calvados","Valdallière","-0.790221 48.786349 -0.708494 48.836132"
100000068031,"FR","68031","Bernwiller","FR","Grand Est","Haut-Rhin","Bernwiller","7.169919 47.681628 7.212847 47.723453"
100000027060,"FR","27060","Berthenonville","FR","Normandie","Eure","Vexin-sur-Epte","1.621529 49.169301 1.671714 49.195538"
100000270621,"FR","27062","Berville-en-Roumois","FR","Normandie","Eure","Les Monts du Roumois","0.792265 49.271003 0.856165 49.311405"
100000002077,"FR","02077","Berzy-le-Sec","FR","Hauts-de-France","Aisne","Bernoy-le-Château","3.260896 49.290426 3.333409 49.342496"
100000070068,"FR","70068","Betoncourt-les-Ménétriers","FR","Bourgogne-Franche-Comté","Haute-Saône","La Roche-Morey","5.760811 47.673307 5.807476 47.703942"
100000050051,"FR","50051","Beuzeville-au-Plain","FR","Normandie","Manche","Sainte-Mère-Église","-1.299427 49.4202 -1.269057 49.440605"
100000650921,"FR","65092","Beyrède-Jumet","FR","Occitanie","Hautes-Pyrénées","Beyrède-Jumet-Camous","0.2881 42.932905 0.38081 42.977259"
100000090561,"FR","09056","Bézac","FR","Occitanie","Ariège","Bézac","1.546996 43.138679 1.595062 43.165702"
100000530291,"FR","53029","Bierné","FR","Pays de la Loire","Mayenne","Bierné-les-Villages","-0.584049 47.783592 -0.492605 47.832847"
100000052049,"FR","52049","Biernes","FR","Grand Est","Haute-Marne","Colombey les Deux Églises","4.898021 48.243762 4.938264 48.269101"
100000021073,"FR","21073","Bierre-lès-Semur","FR","Bourgogne-Franche-Comté","Côte-d'Or","Le Val-Larrey","4.271799 47.40408 4.316242 47.443662"
100000145271,"FR","14527","Biéville-Quétiéville","FR","Normandie","Calvados","Belle Vie en Auge","-0.064934 49.084743 0.001425 49.152014"
100000014074,"FR","14074","Billy","FR","Normandie","Calvados","Valambray","-0.224636 49.074263 -0.172352 49.104045"
100000055052,"FR","55052","Billy-sous-les-Côtes","FR","Grand Est","Meuse","Vigneulles-lès-Hattonchâtel","5.66082 48.998127 5.715317 49.018859"
100000022007,"FR","22007","Binic","FR","Bretagne","Côtes d'Armor","Binic-Étables-sur-Mer","-2.861173 48.586312 -2.807528 48.618837"
100000051063,"FR","51063","Binson-et-Orquigny","FR","Grand Est","Marne","Cœur-de-la-Vallée","3.774319 49.082279 3.808647 49.109999"
100000050056,"FR","50056","Bion","FR","Normandie","Manche","Mortain-Bocage","-0.95656 48.597805 -0.872439 48.648747"
100000067041,"FR","67041","Birkenwald","FR","Grand Est","Bas-Rhin","Sommerau","7.312892 48.643218 7.35233 48.667924"
100000067042,"FR","67042","Birlenbach","FR","Grand Est","Bas-Rhin","Drachenbronn-Birlenbach","7.856857 48.965834 7.911861 48.996538"
100000067376,"FR","67376","Bischtroff-sur-Sarre","FR","Grand Est","Bas-Rhin","Sarrewerden","7.039898 48.885595 7.09411 48.910393"
100000051064,"FR","51064","Bisseuil","FR","Grand Est","Marne","Aÿ-Champagne","4.063435 49.025782 4.109077 49.069488"
100000050057,"FR","50057","Biville","FR","Normandie","Manche","La Hague","-1.844681 49.593277 -1.776575 49.630514"
100000076098,"FR","76098","Biville-sur-Mer","FR","Normandie","Seine-Maritime","Petit-Caux","1.235378 49.966402 1.27189 50.004508"
100000061045,"FR","61045","Bivilliers","FR","Normandie","Orne","Tourouvre au Perche","0.598748 48.560355 0.631422 48.587453"
100000008068,"FR","08068","Blaise","FR","Grand Est","Ardennes","Vouziers","4.646113 49.377595 4.68908 49.41053"
100000052052,"FR","52052","Blaise","FR","Grand Est","Haute-Marne","Colombey les Deux Églises","4.951331 48.2294 5.012753 48.290797"
100000490291,"FR","49029","Blaison-Gohier","FR","Pays de la Loire","Maine-et-Loire","Blaison-Saint-Sulpice","-0.416547 47.339106 -0.340332 47.41782"
100000025064,"FR","25064","Blanchefontaine","FR","Bourgogne-Franche-Comté","Doubs","Orgeans-Blanchefontaine","6.750781 47.264189 6.778368 47.284108"
100000052054,"FR","52054","Blancheville","FR","Grand Est","Haute-Marne","Andelot-Blancheville","5.196729 48.209125 5.283516 48.25163"
100000053032,"FR","53032","Blandouet","FR","Pays de la Loire","Mayenne","Blandouet-Saint Jean","-0.350128 48.044781 -0.278769 48.080509"
100000086030,"FR","86030","Blaslay","FR","Nouvelle-Aquitaine","Vienne","Saint-Martin-la-Pallu","0.189727 46.700237 0.267145 46.753198"
100000004029,"FR","04029","Blégiers","FR","Provence-Alpes-Côte d'Azur","Alpes-de-Haute-Provence","Prads-Haute-Bléone","6.372766 44.125601 6.537463 44.215336"
100000055056,"FR","55056","Blercourt","FR","Grand Est","Meuse","Nixéville-Blercourt","5.193281 49.100149 5.26722 49.129431"
100000028361,"FR","28361","Bleury-Saint-Symphorien","FR","Centre-Val de Loire","Eure-et-Loir","Auneau-Bleury-Saint-Symphorien","1.71789 48.491251 1.790483 48.553816"
100000028043,"FR","28043","Blévy","FR","Centre-Val de Loire","Eure-et-Loir","Maillebois","1.121685 48.620779 1.216403 48.667152"
100000089047,"FR","89047","Bligny-en-Othe","FR","Bourgogne-Franche-Comté","Yonne","Brienon-sur-Armançon","3.578397 48.001631 3.624481 48.030492"
100000024044,"FR","24044","Blis-et-Born","FR","Nouvelle-Aquitaine","Dordogne","Bassillac et Auberoche","0.863847 45.143242 0.942557 45.196875"
100000049031,"FR","49031","Bocé","FR","Pays de la Loire","Maine-et-Loire","Baugé-en-Anjou","-0.120829 47.490634 -0.03909 47.533344"
100000061047,"FR","61047","Bocquencé","FR","Normandie","Orne","La Ferté-en-Ouche","0.437185 48.809565 0.483609 48.855814"
100000270701,"FR","27070","Boisemont","FR","Normandie","Eure","Frenelles-en-Vexin","1.458349 49.265686 1.524475 49.312594"
100000080111,"FR","80111","Boisrault","FR","Hauts-de-France","Somme","Hornoy-le-Bourg","1.857908 49.847513 1.900832 49.867212"
100000050061,"FR","50061","Boisroger","FR","Normandie","Manche","Gouville-sur-Mer","-1.556361 49.080912 -1.51384 49.109513"
100000079039,"FR","79039","Boisserolles","FR","Nouvelle-Aquitaine","Deux-Sèvres","Plaine-d'Argenson","-0.480723 46.094636 -0.417936 46.122903"
100000014081,"FR","14081","Boissey","FR","Normandie","Calvados","Saint-Pierre-en-Auge","0.021371 49.008974 0.077384 49.028342"
100000060080,"FR","60080","Boissy-le-Bois","FR","Hauts-de-France","Oise","La Corne-en-Vexin","1.916362 49.265606 1.970543 49.295629"
100000050063,"FR","50063","Bolleville","FR","Normandie","Manche","La Haye","-1.616517 49.294554 -1.551027 49.321161"
100000039064,"FR","39064","Bonnaud","FR","Bourgogne-Franche-Comté","Jura","Val-Sonnette","5.414126 46.613692 5.443081 46.627901"
100000710421,"FR","71042","Bonnay","FR","Bourgogne-Franche-Comté","Saône-et-Loire","Bonnay-Saint-Ythaire","4.587762 46.529927 4.658944 46.569397"
100000073046,"FR","73046","Bonneval","FR","Auvergne-Rhône-Alpes","Savoie","La Léchère","6.381687 45.494995 6.473497 45.539187"
100000025076,"FR","25076","Bonnevaux-le-Prieuré","FR","Bourgogne-Franche-Comté","Doubs","Ornans","6.149467 47.128048 6.19464 47.145826"
100000016051,"FR","16051","Bonneville","FR","Nouvelle-Aquitaine","Charente","Val-d'Auge","-0.073836 45.816636 -0.027228 45.862276"
100000044017,"FR","44017","Bonnœuvre","FR","Pays de la Loire","Loire-Atlantique","Vallons-de-l'Erdre","-1.273648 47.503463 -1.143486 47.544371"
100000040048,"FR","40048","Boos","FR","Nouvelle-Aquitaine","Landes","Rion-des-Landes","-1.03089 43.877137 -0.946636 43.911189"
100000079041,"FR","79041","Borcq-sur-Airvault","FR","Nouvelle-Aquitaine","Deux-Sèvres","Airvault","-0.118361 46.81375 -0.044246 46.852629"
100000270851,"FR","27085","Bosc-Bénard-Crescy","FR","Normandie","Eure","Flancourt-Crescy-en-Roumois","0.789711 49.30347 0.823334 49.328839"
100000027088,"FR","27088","Bosc-Renoult-en-Ouche","FR","Normandie","Eure","Mesnil-en-Ouche","0.688799 48.942321 0.758819 48.965769"
100000076127,"FR","76127","Bosc-Roger-sur-Buchy","FR","Normandie","Seine-Maritime","Buchy","1.338607 49.55811 1.407958 49.613728"
100000027092,"FR","27092","Bosguérard-de-Marcouville","FR","Normandie","Eure","Les Monts du Roumois","0.812678 49.243472 0.869262 49.28916"
100000027093,"FR","27093","Bosnormand","FR","Normandie","Eure","Bosroumois","0.887586 49.269731 0.940889 49.286319"
100000008072,"FR","08072","Bosseval-et-Briancourt","FR","Grand Est","Ardennes","Vrigne aux Bois","4.841179 49.719339 4.894092 49.793232"
100000049034,"FR","49034","Botz-en-Mauges","FR","Pays de la Loire","Maine-et-Loire","Mauges-sur-Loire","-1.032382 47.28709 -0.943957 47.324809"
100000085027,"FR","85027","Boufféré","FR","Pays de la Loire","Vendée","Montaigu-Vendée","-1.376762 46.933603 -1.309016 46.9812"
100000079043,"FR","79043","Bouillé-Loretz","FR","Nouvelle-Aquitaine","Deux-Sèvres","Loretz-d'Argenton","-0.340189 47.05708 -0.206142 47.105745"
